"Job","Actual cost of labor and materials","Actual cost of labor and materials per unit","Actual gross margin","Actual gross profit","Actual Job end date","Actual Job start date","Actual Labor cost","Actual Labor cost per person hour","Actual Labor cost per unit","Actual labor margin","Actual labor profit","Actual machine cost","Actual machine cost per unit","Actual materials cost","Actual materials cost per unit","Actual person hours","Actual person hours payable","Actual person hours per unit","Actual person hours productive","Actual total cost","Actual total cost per unit","Actual total margin","Actual total profit","Actual units per person hour","Availability","Customer name","Duration","Estimate name","Expected cost of labor and materials","Expected cost of labor and materials per unit","Expected gross margin","Expected gross profit","Expected Labor cost","Expected Labor cost per unit","Expected Labor margin","Expected Labor profit","Expected materials cost","Expected materials cost per unit","Expected total charge","Expected total charge per unit","Expected total cost","Expected total cost per unit","Expected total margin","Expected total profit","Invoice ID","Invoiced","Invoice date","Item alternate code 1","Item alternate code 2","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Job comments","Job reference","Job status","Labor charge","Labor charge per person hour","Labor charge per unit","Labor percentage of charge","Line Efficiency","Line leader name","Line name","Machine hours","Machine Hours per unit","Machine hours productive","Materials charge","Materials charge per unit","Number of personnel","Number of Time Records","Overhead charge","Overhead charge per unit","Overhead cost","Overhead cost per unit","Performance","Project code","Project description","Project ID","Project reference 1","Project reference 2","Project Reference 3","Reconciliation completed at","Reconciliation status","Scenario name","Service Category","Signed Off","Site name","Standard people","Standard person hours","Standard Person Hours per unit","Standard units per hour","Total charge","Total charge per unit","Unit of measure","Units expected","Units produced","Units remaining"
"4007865","1549.32","1.83787","17.58%","330.57","2020-Jan-18 11:56 PM","2020-Jan-18 03:35 PM","704.99","14.94","0.83629","62.50%","1174.90","0.00","0.00000","844.33","1.00158","50.18","47.18","0.05359","45.18","1549.32","1.83787","17.58%","330.57","18.66","100.00%","Mondelez","8.36","00125460137700 - GUM2","0.00","0.00000","100.00%","3793.50","0.00","0.00000","100.00%","1879.89","0.00","0.00000","3793.50","4.5","0.00","0.00000","59.16%","2244.18","","No","","00125460137700","","","","MONDELZ-NC-14","Mondelez","00125460137700 Trident Vibes Tropical 24/12ct","","Finished Good","","","Stopped","1879.89","37.46","2.23000","37.50%","60.98%","","GUM2","","0.00000","0.00","1913.61","2.27000","6.00","6","0.00","0.00000","0.00","0.00000","60.98%","2020687","","2020687","","","","","Needs to be reconciled","19-2227 - 00125460137700","","No","Newcomerstown","5.00000","27.55","0.03268","153.00000","1879.89","2.23000","cs","1173.00000","843.00000","330.00"
"4000566","1457.17","0.91130","-18.35%","-225.94","2020-Jan-18 11:57 PM","2020-Jan-18 03:30 PM","224.03","14.09","0.14011","59.97%","335.62","0.00","0.00000","1233.14","0.77119","16.90","15.90","0.00953","15.23","1457.17","0.91130","-18.35%","-225.94","104.97","100.00%","Mondelez","8.45","3125460016000 - HALLS REPACK","0.00","0.00000","100.00%","1231.23","0.00","0.00000","100.00%","559.65","0.00","0.00000","1231.23","0.77","0.00","0.00000","-18.35%","-225.94","","No","","3125460016000","","","","MONDELZ-NC-06","Mondelez","3125460016000 80Pc Halls Cough Cherry 6ct","","Finished Good","","","Stopped","559.65","33.12","0.35000","18.20%","87.47%","","HALLS REPACK","","0.00000","0.00","671.58","0.42000","2.00","2","0.00","0.00000","0.00","0.00000","87.47%","2056530","","2056530","","","","","Needs to be reconciled","L - 3125460016000","","No","Newcomerstown","5.00000","13.33","0.00833","600.00000","1231.23","0.77000","cs","2300.00000","1599.00000","701.00"
"3994623","1964.62","1.56046","-45.21%","-611.70","2020-Jan-18 11:45 PM","2020-Jan-18 03:00 PM","609.71","15.14","0.48428","54.93%","743.21","0.00","0.00000","1354.91","1.07618","42.77","40.27","0.03066","38.61","1964.62","1.56046","-45.21%","-611.70","32.61","100.00%","Keto Logic LLC","8.75","KTO-160 - KETO","0.00","0.00000","100.00%","1352.92","0.00","0.00000","100.00%","1352.92","0.00","0.00000","1352.92","1.0746","0.00","0.00000","-45.21%","-611.70","","No","","KTO-160","","","","KETOLOG-NC-01","Keto Logic LLC","KTO-160 Ketologic Keto Crisps - Krunch Cheddar","","Finished Good","","","Stopped","1352.92","31.63","1.07460","45.07%","71.52%","","KETO","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","71.52%","2037625","","2037625","","","","2020-Jan-18 11:29 PM","Reconciliation complete","L - KTO-160","","No","Newcomerstown","5.00000","27.61","0.02193","228.00000","1352.92","1.07460","cs","843.00000","1259.00000","-416.00"
"4000736","929.25","1.43181","23.42%","284.19","2020-Jan-18 11:55 PM","2020-Jan-18 03:00 PM","929.25","14.42","1.43181","23.42%","284.19","0.00","0.00000","0.00","0.00000","68.42","64.42","0.09515","61.75","929.25","1.43181","23.42%","284.19","10.51","100.00%","The JM Smucker Company","8.93","7910000558 - BLISTERPACK","0.00","0.00000","100.00%","1213.44","0.00","0.00000","100.00%","1213.44","0.00","0.00000","1213.44","1.8697","0.00","0.00000","23.42%","284.19","","No","","7910000558","","","","SMCKRS-NC-32","The JM Smucker Company","7910000558 Mkb 1Oz Active Tumble Small Dog","","Finished Good","","","Stopped","1213.44","17.74","1.86970","76.58%","46.71%","","BLISTERPACK","","0.00000","0.00","0.00","0.00000","8.00","8","0.00","0.00000","0.00","0.00000","46.71%","2025498","","2025498","","","","","Needs to be reconciled","L - 7910000558","","No","Newcomerstown","10.00000","28.84","0.04444","225.00000","1213.44","1.86970","cs","1050.00000","649.00000","401.00"
"4001518","2653.55","18.30037","-43.46%","-803.93","2020-Jan-18 11:59 PM","2020-Jan-18 03:00 PM","802.33","14.52","5.53333","56.62%","1047.29","0.00","0.00000","1851.22","12.76704","58.77","55.27","0.36507","52.94","2653.55","18.30037","-43.46%","-803.93","2.74","100.00%","Project 7, Inc.","8.99","2021010 - PROJECT7","0.00","0.00000","100.00%","1849.62","0.00","0.00000","100.00%","1849.62","0.00","0.00000","1849.62","12.756","0.00","0.00000","-43.46%","-803.93","","No","","2021010","","","","PROJECT7-NC-02","Project 7, Inc.","2021010 Rainbow Ice Gum","","Finished Good","","","Stopped","1849.62","31.47","12.75600","43.38%","91.31%","","PROJECT7","","0.00000","0.00","0.00","0.00000","6.00","7","0.00","0.00000","0.00","0.00000","91.31%","1972169","","1972169","","","","","Needs to be reconciled","L - 2021010","","No","Newcomerstown","6.00000","48.33","0.33333","18.00000","1849.62","12.75600","cs","150.00000","145.00000","5.00"
"4007167","784.45","1.57520","-0.94%","-7.27","2020-Jan-19 12:00 AM","2020-Jan-18 03:00 PM","784.45","15.82","1.57520","-0.94%","-7.27","0.00","0.00000","0.00","0.00000","52.58","49.58","0.09554","47.58","784.45","1.57520","-0.94%","-7.27","10.47","100.00%","The JM Smucker Company","9.01","7910075810 - WB-SURP","0.00","0.00000","100.00%","777.18","0.00","0.00000","100.00%","777.18","0.00","0.00000","777.18","1.5606","0.00","0.00000","-0.94%","-7.27","","No","","7910075810","","","","SMCKRS-NC-58","The JM Smucker Company","7910075810 Mkb Wndr Bn 6.2Oz Ch Mn Pw Surp","","Finished Good","","","Stopped","777.18","14.78","1.56060","100.94%","58.15%","","WB-SURP","","0.00000","0.00","0.00","0.00000","6.00","6","0.00","0.00000","0.00","0.00000","58.15%","1998354","","1998354","","","","","Needs to be reconciled","L - 7910075810","","No","Newcomerstown","10.00000","27.67","0.05556","180.00000","777.18","1.56060","cs","1380.00000","498.00000","882.00"
"4007797","761.29","0.56350","61.02%","1191.70","2020-Jan-19 12:14 AM","2020-Jan-18 03:00 PM","761.29","15.40","0.56350","-5.22%","-37.75","0.00","0.00000","0.00","0.00000","52.45","49.45","0.03512","47.45","761.29","0.56350","61.02%","1191.70","28.47","100.00%","Mars / Wrigley","9.24","10188278 - SK2-SOUR","0.00","0.00000","100.00%","2012.73","0.00","0.00000","100.00%","723.54","0.00","0.00000","2012.73","1.48981","0.00","0.00000","62.18%","1251.44","","No","","10188278","","","","MARS-NC-51","Mars / Wrigley","10188278 Sour Skittles Sks Sas Syl 204.1G Sours Sub / 12P - 7.2 Oz","","Finished Good","","","Stopped","723.54","13.80","0.53556","38.98%","40.91%","","SK2-SOUR","","0.00000","0.00","1289.19","0.95425","6.00","6","0.00","0.00000","0.00","0.00000","40.91%","2058700","","2058700","","","","","Needs to be reconciled","L - 10188278","","No","Newcomerstown","5.00000","19.41","0.01437","348.00000","1952.99","1.44559","cs","2400.00000","1351.00000","1049.00"
"4007895","4177.96","1.85440","-27.01%","-888.58","2020-Jan-19 12:09 AM","2020-Jan-18 03:00 PM","848.85","14.87","0.37677","46.93%","750.78","0.00","0.00000","3329.11","1.47763","60.60","57.10","0.02431","54.77","4177.96","1.85440","-27.01%","-888.58","41.14","100.00%","Mondelez","9.16","704620032900 - SP1/SP2","0.00","0.00000","100.00%","3289.38","0.00","0.00000","100.00%","1599.63","0.00","0.00000","3289.38","1.46","0.00","0.00000","-27.01%","-888.58","","No","","704620032900","","","","MONDELZ-NC-11","Mondelez","704620032900 6Ct - 10Oz Sourpatch Strawberry Bag","","Finished Good","","","Stopped","1599.63","26.40","0.71000","25.81%","64.28%","","SP1","","0.00000","0.00","1689.75","0.75000","7.00","7","0.00","0.00000","0.00","0.00000","64.28%","2054661","","2054661","","","","","Needs to be reconciled","L - 704620032900","","No","Newcomerstown","6.00000","35.20","0.01563","384.00000","3289.38","1.46000","cs","1346.00000","2253.00000","-907.00"
"4008921","72.37","0.61850","67.32%","149.04","2020-Jan-18 05:30 PM","2020-Jan-18 03:00 PM","72.37","16.08","0.61850","20.91%","19.14","0.00","0.00000","0.00","0.00000","4.50","4.50","0.03846","4.50","72.37","0.61850","67.32%","149.04","26.00","100.00%","Mars / Wrigley","2.50","10132931 - SK1-PEG BAG","0.00","0.00000","100.00%","229.28","0.00","0.00000","100.00%","91.50","0.00","0.00000","229.28","1.95963","0.00","0.00000","68.44%","156.91","","No","","10132931","","","","MARS-NC-02","Mars / Wrigley","10132931 Skittles Mix Ups Resealable Bag 7.2Oz","","Finished Good","","","Stopped","91.50","20.33","0.78206","32.68%","44.22%","","SK1-PEG BAG","","0.00000","0.00","137.78","1.17757","4.00","4","0.00","0.00000","0.00","0.00000","44.22%","2058768","","2058768","","","","","Needs to be reconciled","L - 10132931","","No","Newcomerstown","5.00000","1.99","0.01701","294.00000","221.40","1.89233","cs","2080.00000","117.00000","1963.00"
"4009002","3067.69","2.97545","-60.08%","-1151.37","2020-Jan-19 12:08 AM","2020-Jan-18 03:00 PM","1151.37","14.67","1.11675","39.92%","764.95","0.00","0.00000","1916.32","1.85870","82.99","78.49","0.07289","75.15","3067.69","2.97545","-60.08%","-1151.37","13.72","100.00%","Hills Pet Nutrition, Inc.","9.14","10900 - SUP6","0.00","0.00000","100.00%","1916.32","0.00","0.00000","100.00%","1916.32","0.00","0.00000","1916.32","1.8587","0.00","0.00000","-60.08%","-1151.37","","No","","10900","","","","HILLSPET-NC-16","Hills Pet Nutrition, Inc.","10900 Prescription Diet Canine Hypo Treats 6 X 12Oz Case","","Finished Good","","","Stopped","1916.32","23.09","1.85870","60.08%","58.63%","","SUP6","","0.00000","0.00","0.00","0.00000","11.00","11","0.00","0.00000","0.00","0.00000","58.63%","2062602","","2062602","","","","","Needs to be reconciled","L - 10900","","No","Newcomerstown","10.00000","44.06","0.04274","234.00000","1916.32","1.85870","cs","1750.00000","1031.00000","719.00"
