"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"1987852","2019-Oct-28 09:25 AM","Hills Pet Nutrition, Inc.","2019-Nov-01 09:25 AM","10424 - DOUBLE HEADER","Yes","Yes","","","HILLSPET-NC-13","Hills Pet Nutrition, Inc.","10424 Prescription Diet Puppy Can I/D Lf 12 X 5.25Oz Sample","","Finished Good","2019-Nov-10 10:30 PM","100.00%","2019-Nov-08 08:27 PM","","1987852","","Closed","","","","L - 10424","Newcomerstown","10.00","360.00000","12156.17","12156.17","1.16920","10397.00000","cases","10000.00000","10397.00000","-397.00000"
"1986594","2019-Oct-25 09:38 AM","Hills Pet Nutrition, Inc.","2019-Nov-01 09:38 AM","3828 - SUP6","Yes","Yes","","","HILLSPET-NC-31","Hills Pet Nutrition, Inc.","3828 Prescription Diet Fel Meta  12 X 2.5Oz Cases Sample","","Finished Good","2019-Oct-29 02:04 PM","100.00%","","","1986594","","Closed","","","","L - 3828","Newcomerstown","10.00","162.00000","4832.23","4832.23","2.58270","1871.00000","cases","1840.00000","1871.00000","-31.00000"
"1985385","2019-Oct-24 09:01 AM","Hills Pet Nutrition, Inc.","2019-Nov-01 09:02 AM","2179 - MICROBAG","Yes","Yes","","","HILLSPET-NC-27","Hills Pet Nutrition, Inc.","2179 Science Diet Pup Lb 6 X 2Lb Trial Bag Case","","Finished Good","2019-Nov-14 04:07 PM","100.00%","2019-Nov-14 05:48 PM","2019-Nov-11 02:46 PM","1985385","","Closed","","","","L - 2179","Newcomerstown","7.00","132.00000","11589.97","11589.97","2.21860","5224.00000","cases","5400.00000","5224.00000","176.00000"
"1978877","2019-Oct-18 11:01 AM","Mondelez","","704620032700 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-10","Mondelez","704620032700 6Ct - 9Oz Sourpatch Big Kids Bag","","Finished Good","2019-Oct-23 03:22 PM","100.00%","2019-Nov-20 11:25 PM","2019-Oct-21 08:54 AM","1978877","","Closed","","","","L - 704620032700","Newcomerstown","7.00","384.00000","9491.46","9491.46","1.46000","6501.00000","cases","6320.00000","6501.00000","-181.00000"
"1976454","2019-Oct-16 01:21 PM","Mondelez","","704620013300 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-07","Mondelez","704620013300 9Oz Sourpatch Big Kids Bag 12/Cs","","Finished Good","2019-Dec-18 02:50 PM","100.00%","2019-Dec-23 12:54 PM","2019-Dec-11 05:56 PM","1976454","","Closed","","","","L - 704620013300","Newcomerstown","6.00","192.00000","23516.78","23516.78","2.41000","9758.00000","cases","18711.00000","9758.00000","8953.00000"
"1976422","2019-Oct-16 01:06 PM","Mondelez","","00125460074500 - GUM2","Yes","Yes","","","MONDELZ-NC-01","Mondelez","00125460074500 Trident Peppermint 24/20ct","","Finished Good","2019-Oct-29 10:51 AM","100.00%","","2019-Nov-18 07:12 AM","1976422","","Closed","","","","L - 00125460074500","Newcomerstown","5.00","153.00000","1325.06","1325.06","4.18000","317.00000","cases","10000.00000","317.00000","9683.00000"
"1976385","2019-Oct-16 12:54 PM","Mondelez","","3125460015900 - HALLS REPACK","Yes","Yes","","","MONDELZ-NC-05","Mondelez","3125460015900 80Pc Halls Cough Honey Lemon 6ct","","Finished Good","2019-Nov-05 04:44 PM","100.00%","","2019-Oct-29 09:37 PM","1976385","","Closed","","","","L - 3125460015900","Newcomerstown","5.00","600.00000","5385.38","5385.38","0.77000","6994.00000","cases","18972.00000","6994.00000","11978.00000"
"1976242","2019-Oct-16 11:39 AM","Mondelez","","704620019600 - SP1/SP2","Yes","No","","","MONDELZ-NC-08","Mondelez","704620019600 10Oz Swedish Fish Bag 12/Cs","","Finished Good","","100.00%","2019-Oct-23 08:10 PM","2019-Oct-18 01:58 PM","1976242","","Closed","","","","L - 704620019600","Newcomerstown","6.00","192.00000","0.00","0.00","2.41000","","cases","9894.00000","0.00000","9894.00000"
"1976194","2019-Oct-16 11:22 AM","Mondelez","","00125460075300 - GUM2","Yes","Yes","","","MONDELZ-NC-03","Mondelez","00125460075300 Trident Splash Strawberry Lime 24/15ct","","Finished Good","2019-Oct-28 09:22 AM","100.00%","2019-Nov-04 10:55 AM","2019-Oct-22 07:30 AM","1976194","","Closed","","","","L - 00125460075300","Newcomerstown","5.00","153.00000","41869.35","41869.35","4.15000","10089.00000","cases","12082.00000","10089.00000","1993.00000"
"1976086","2019-Oct-16 11:01 AM","Mondelez","","00125460103300 - GUM2","Yes","Yes","","","MONDELZ-NC-04","Mondelez","00125460103300 2016 Dentyne Ice Peppermint 24/20Ct","","Finished Good","2019-Oct-22 09:42 AM","100.00%","2019-Nov-01 04:30 PM","2019-Oct-24 08:21 PM","1976086","","Closed","","","","L - 00125460103300","Newcomerstown","5.00","153.00000","21054.66","21054.66","4.18000","5037.00000","cases","4824.00000","5037.00000","-213.00000"
