"Job","Actual cost of labor and materials","Actual cost of labor and materials per unit","Actual gross margin","Actual gross profit","Actual Job end date","Actual Job start date","Actual Labor cost","Actual Labor cost per person hour","Actual Labor cost per unit","Actual labor margin","Actual labor profit","Actual machine cost","Actual machine cost per unit","Actual materials cost","Actual materials cost per unit","Actual person hours","Actual person hours payable","Actual person hours per unit","Actual person hours productive","Actual total cost","Actual total cost per unit","Actual total margin","Actual total profit","Actual units per person hour","Availability","Customer name","Duration","Estimate name","Expected cost of labor and materials","Expected cost of labor and materials per unit","Expected gross margin","Expected gross profit","Expected Labor cost","Expected Labor cost per unit","Expected Labor margin","Expected Labor profit","Expected materials cost","Expected materials cost per unit","Expected total charge","Expected total charge per unit","Expected total cost","Expected total cost per unit","Expected total margin","Expected total profit","Invoice ID","Invoiced","Invoice date","Item alternate code 1","Item alternate code 2","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Job comments","Job reference","Job status","Labor charge","Labor charge per person hour","Labor charge per unit","Labor percentage of charge","Line Efficiency","Line leader name","Line name","Machine hours","Machine Hours per unit","Machine hours productive","Materials charge","Materials charge per unit","Number of personnel","Number of Time Records","Overhead charge","Overhead charge per unit","Overhead cost","Overhead cost per unit","Performance","Project code","Project description","Project ID","Project reference 1","Project reference 2","Project Reference 3","Reconciliation completed at","Reconciliation status","Scenario name","Service Category","Signed Off","Site name","Standard people","Standard person hours","Standard Person Hours per unit","Standard units per hour","Total charge","Total charge per unit","Unit of measure","Units expected","Units produced","Units remaining"
"4008796","5401.23","19.01841","0.00%","-5401.23","2020-Jan-18 11:36 AM","2020-Jan-18 09:05 AM","35.45","14.00","0.12483","0.00%","-35.45","0.00","0.00000","5365.78","18.89358","2.53","2.53","0.00892","2.53","5401.23","19.01841","0.00%","-5401.23","112.15","100.00%","Quaker","2.53","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-5401.23","","No","","","","Solid Food","","QUAKER-01-03B","Quaker","Fruit Batch for Real Medleys","","Batch","","","Stopped","0.00","0.00","0.00000","","33.48%","","Batching - Tumbler (Rm 4)","","0.00000","0.00","0.00","0.00000","1.00","1","0.00","0.00000","0.00","0.00000","33.48%","01-03B-JAN20","SHORT ALL COMPONENTS TO COMPLETE ALL BATCHING- INBOUND
26 BATCHES","2065650","","","","","Needs to be reconciled","","","No","MSI Portage","7.00000","0.85","0.00299","2345.00000","0.00","0.00000","lbs","283.00000","284.00000","-1.00"
"4003486","645.05","0.32252","0.00%","-645.05","2020-Jan-18 01:02 PM","2020-Jan-18 07:35 AM","76.39","14.00","0.03819","0.00%","-76.39","0.00","0.00000","568.66","0.28433","5.46","5.46","0.00273","5.46","645.05","0.32252","0.00%","-645.05","366.55","100.00%","Quaker","5.46","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-645.05","","No","","","","Solid Food","","QUAKER-01-03A","Quaker","Grain Batch for Real Medleys","","Batch","","","Stopped","0.00","0.00","0.00000","","109.42%","","Batching - Tumbler (Rm 4)","","0.00000","0.00","0.00","0.00000","1.00","1","0.00","0.00000","0.00","0.00000","109.42%","01-03A-JAN20","SHORT COMPONENTS TO COMPLETE ALL BATCHES- INBOUND
54 BATCHES","2065643","","","","","Needs to be reconciled","","","No","MSI Portage","7.00000","5.97","0.00299","2345.00000","0.00","0.00000","lbs","1000.00000","2000.00000","-1000.00"
"4004617","864.27","0.04953","0.00%","-864.27","2020-Jan-18 07:10 AM","2020-Jan-17 11:00 PM","791.50","12.34","0.04536","0.00%","-791.50","0.00","0.00000","72.77","0.00417","64.17","64.17","0.00312","54.39","864.27","0.04953","0.00%","-864.27","320.81","92.44%","Quaker","8.17","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-864.27","","No","","031552","","Solid Food","","QUAKER-03B","Quaker","031552 RM Summer Berry IQO","","Finished Good","","","Stopped","0.00","0.00","0.00000","","88.64%","","Cupfiller #1 - Inline (Rm 4)","","0.00000","0.00","0.00","0.00000","9.00","9","0.00","0.00000","0.00","0.00000","95.89%","03B-JANPO20","RUN TO THE NUMBER","2066357","","","","2020-Jan-18 06:44 AM","Reconciliation complete","","","No","MSI Portage","7.00000","52.15","0.00299","2342.00000","0.00","0.00000","cup","19000.00000","17448.00000","1552.00"
"4007306","798.50","0.10763","0.00%","-798.50","2020-Jan-18 07:20 AM","2020-Jan-17 11:00 PM","798.50","12.41","0.10763","0.00%","-798.50","0.00","0.00000","0.00","0.00000","64.33","64.33","0.00723","53.67","798.50","0.10763","0.00%","-798.50","138.24","90.96%","Nestle Purina Pet Care Co.","8.33","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-798.50","","No","","12364794","","Bottles","","PURINA-24a","Nestle Purina Pet Care Co.","12364794 Friskies Beachside Canisters","","Finished Good","","","Stopped","0.00","0.00","0.00000","","94.55%","","Volumetric Filling Line #1 (Rm 9)","","0.00000","0.00","0.00","0.00000","9.00","9","0.00","0.00000","0.00","0.00000","103.94%","24a-DECPO19","RUN TO THE NUMBER","2067926","4562161525","","","","Reconciliation in-progress","","","No","MSI Portage","8.00000","55.78","0.00752","1064.00000","0.00","0.00000","btl","8000.00000","7419.00000","581.00"
"4008833","294.00","0.02667","0.00%","-294.00","2020-Jan-18 07:00 AM","2020-Jan-17 11:00 PM","294.00","12.25","0.02667","0.00%","-294.00","0.00","0.00000","0.00","0.00000","24.00","24.00","0.00169","18.69","294.00","0.02667","0.00%","-294.00","590.00","86.77%","Hometown Foods","8.00","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-294.00","","No","","250060","","Lids","","HTFOODS-15","Hometown Foods","250060 Confetti Lids","","Finished Good","","","Stopped","0.00","0.00","0.00000","","55.05%","","Lidding 2 (Rm 6)","","0.00000","0.00","0.00","0.00000","4.00","4","0.00","0.00000","0.00","0.00000","63.44%","LINE2-Confetti-2nd","NEW CONFETTI PROJECT STARTING TODAY 12/23/19","2043530","FORECAST","","","","Needs to be reconciled","","","No","MSI Portage","3.00000","11.85","0.00108","2790.00000","0.00","0.00000","lid","20000.00000","11025.00000","8975.00"
"4008841","246.00","0.01464","0.00%","-246.00","2020-Jan-18 07:00 AM","2020-Jan-17 11:00 PM","246.00","12.30","0.01464","0.00%","-246.00","0.00","0.00000","0.00","0.00000","20.00","20.00","0.00108","18.08","246.00","0.01464","0.00%","-246.00","929.03","98.64%","Hometown Foods","8.00","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-246.00","","No","","250069","","Lids","","HTFOODS-04","Hometown Foods","250069 Rainbow Pastel FF Lids","","Finished Good","","","Stopped","0.00","0.00","0.00000","","98.53%","","Lidding 4 (Rm 6)","","0.00000","0.00","0.00","0.00000","3.00","3","0.00","0.00000","0.00","0.00000","99.90%","250069 Line 1-Pastel","","2054632","Forecast","","","","Needs to be reconciled","","","No","MSI Portage","3.00000","18.06","0.00108","2790.00000","0.00","0.00000","lid","20000.00000","16800.00000","3200.00"
"4008844","196.00","0.01333","0.00%","-196.00","2020-Jan-18 07:00 AM","2020-Jan-17 11:00 PM","196.00","12.25","0.01333","0.00%","-196.00","0.00","0.00000","0.00","0.00000","16.00","16.00","0.00086","12.67","196.00","0.01333","0.00%","-196.00","1160.53","86.36%","Hometown Foods","8.00","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-196.00","","No","","250073","192119-05","Lids","","HTFOODS-06","Hometown Foods","250073 Purple Mix FF Lids","","Finished Good","","","Stopped","0.00","0.00","0.00000","","107.77%","","Lidding 3 (Rm 6)","","0.00000","0.00","0.00","0.00000","2.00","2","0.00","0.00000","0.00","0.00000","124.79%","PURPLE CANDY","","2059803","","","","","Needs to be reconciled","","","No","MSI Portage","3.00000","15.81","0.00108","2790.00000","0.00","0.00000","lid","20000.00000","14700.00000","5300.00"
"4008794","5355.36","18.90349","0.00%","-5355.36","2020-Jan-17 09:07 PM","2020-Jan-17 08:55 PM","2.81","14.00","0.00991","0.00%","-2.81","0.00","0.00000","5352.55","18.89358","0.20","0.20","0.00071","0.20","5355.36","18.90349","0.00%","-5355.36","1413.01","100.00%","Quaker","0.20","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-5355.36","","No","","","","Solid Food","","QUAKER-01-03B","Quaker","Fruit Batch for Real Medleys","","Batch","","","Stopped","0.00","0.00","0.00000","","421.79%","","Batching - Tumbler (Rm 4)","","0.00000","0.00","0.00","0.00000","1.00","1","0.00","0.00000","0.00","0.00000","421.79%","01-03B-JAN20","SHORT ALL COMPONENTS TO COMPLETE ALL BATCHING- INBOUND
26 BATCHES","2065650","","","","","Needs to be reconciled","","","No","MSI Portage","7.00000","0.85","0.00299","2345.00000","0.00","0.00000","lbs","283.00000","283.30000","-0.30"
"4003490","920.66","0.30689","0.00%","-920.66","2020-Jan-17 11:00 PM","2020-Jan-17 05:05 PM","67.67","14.00","0.02256","0.00%","-67.67","0.00","0.00000","852.99","0.28433","4.83","4.83","0.00161","4.83","920.66","0.30689","0.00%","-920.66","620.69","100.00%","Quaker","5.92","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-920.66","","No","","","","Solid Food","","QUAKER-01-03A","Quaker","Grain Batch for Real Medleys","","Batch","","","Stopped","0.00","0.00","0.00000","","185.28%","","Batching - Tumbler (Rm 4)","","0.00000","0.00","0.00","0.00000","2.00","2","0.00","0.00000","0.00","0.00000","185.28%","01-03A-JAN20","SHORT COMPONENTS TO COMPLETE ALL BATCHES- INBOUND
54 BATCHES","2065643","","","","","Needs to be reconciled","","","No","MSI Portage","7.00000","8.96","0.00299","2345.00000","0.00","0.00000","lbs","1000.00000","3000.00000","-2000.00"
"4007300","584.50","0.09421","0.00%","-584.50","2020-Jan-17 11:15 PM","2020-Jan-17 05:00 PM","584.50","12.37","0.09421","0.00%","-584.50","0.00","0.00000","0.00","0.00000","47.25","47.25","0.00676","41.92","584.50","0.09421","0.00%","-584.50","148.01","100.00%","Nestle Purina Pet Care Co.","6.25","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-584.50","","No","","12364794","","Bottles","","PURINA-24a","Nestle Purina Pet Care Co.","12364794 Friskies Beachside Canisters","","Finished Good","","","Stopped","0.00","0.00","0.00000","","111.28%","","Volumetric Filling Line #1 (Rm 9)","","0.00000","0.00","0.00","0.00000","8.00","8","0.00","0.00000","0.00","0.00000","111.28%","24a-DECPO19","RUN TO THE NUMBER","2067926","4562161525","","","","Reconciliation in-progress","","","No","MSI Portage","8.00000","46.65","0.00752","1064.00000","0.00","0.00000","btl","8000.00000","6204.00000","1796.00"
