"Job","Actual cost of labor and materials","Actual cost of labor and materials per unit","Actual gross margin","Actual gross profit","Actual Job end date","Actual Job start date","Actual Labor cost","Actual Labor cost per person hour","Actual Labor cost per unit","Actual labor margin","Actual labor profit","Actual machine cost","Actual machine cost per unit","Actual materials cost","Actual materials cost per unit","Actual person hours","Actual person hours payable","Actual person hours per unit","Actual person hours productive","Actual total cost","Actual total cost per unit","Actual total margin","Actual total profit","Actual units per person hour","Availability","Customer name","Duration","Estimate name","Expected cost of labor and materials","Expected cost of labor and materials per unit","Expected gross margin","Expected gross profit","Expected Labor cost","Expected Labor cost per unit","Expected Labor margin","Expected Labor profit","Expected materials cost","Expected materials cost per unit","Expected total charge","Expected total charge per unit","Expected total cost","Expected total cost per unit","Expected total margin","Expected total profit","Invoice ID","Invoiced","Invoice date","Item alternate code 1","Item alternate code 2","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Job comments","Job reference","Job status","Labor charge","Labor charge per person hour","Labor charge per unit","Labor percentage of charge","Line Efficiency","Line leader name","Line name","Machine hours","Machine Hours per unit","Machine hours productive","Materials charge","Materials charge per unit","Number of personnel","Number of Time Records","Overhead charge","Overhead charge per unit","Overhead cost","Overhead cost per unit","Performance","Project code","Project description","Project ID","Project reference 1","Project reference 2","Project Reference 3","Reconciliation completed at","Reconciliation status","Scenario name","Service Category","Signed Off","Site name","Standard people","Standard person hours","Standard Person Hours per unit","Standard units per hour","Total charge","Total charge per unit","Unit of measure","Units expected","Units produced","Units remaining"
"4007761","324.32","1.05298","52.31%","355.75","2020-Jan-19 11:56 AM","2020-Jan-19 05:40 AM","324.32","18.08","1.05298","52.31%","355.75","0.00","0.00000","0.00","0.00000","17.94","17.94","0.03274","10.08","324.32","1.05298","52.31%","355.75","30.54","60.05%","Ford Gum","6.28","00103 - L5","0.00","0.00000","100.00%","680.06","0.00","0.00000","100.00%","680.06","0.00","0.00000","680.06","2.208","0.00","0.00000","52.31%","355.75","","No","","00103-TRAYR1","","","","FGUM-WC-03","Ford Gum","00103-TRAYR1 Cinnamon Military Energy Gum","","Finished Good","","","Stopped","680.06","37.90","2.20800","47.69%","91.71%","","L5","","0.00000","0.00","0.00","0.00000","3.00","3","0.00","0.00000","0.00","0.00000","152.72%","00103 - CINN - 010620","","2067756","","","","2020-Jan-19 11:56 AM","Reconciliation complete","L - 00103","","No","West Chicago","4.00000","15.40","0.05000","80.00000","680.06","2.20800","tr","520.00000","308.00000","212.00"
"4010942","810.20","1.12061","58.50%","1141.90","2020-Jan-19 01:08 PM","2020-Jan-19 04:30 AM","810.20","16.49","1.12061","58.50%","1141.90","0.00","0.00000","0.00","0.00000","49.14","49.14","0.06386","46.17","810.20","1.12061","58.50%","1141.90","15.66","98.20%","Cargill","8.64","110030116 - C1AMS1/C2AMS1","0.00","0.00000","100.00%","1952.10","0.00","0.00000","100.00%","1952.10","0.00","0.00000","1952.10","2.7","0.00","0.00000","58.50%","1141.90","","No","","110030116","","","","CARGILL-WC-11","Cargill","110030116 Truvia 8/17Oz 0 Calorie Case","","Finished Good","","","Stopped","1952.10","39.73","2.70000","41.50%","99.68%","","C1","","0.00000","0.00","0.00","0.00000","6.00","6","0.00","0.00000","0.00","0.00000","101.50%","110030116 - 4507383616","","2069664","","4507383616","","2020-Jan-19 01:07 PM","Reconciliation complete","L - 110030116","","No","West Chicago","7.00000","46.86","0.06481","108.00000","1952.10","2.70000","cs","864.00000","723.00000","141.00"
"4011290","6276.94","1.26628","-33.29%","-1567.79","2020-Jan-19 02:11 PM","2020-Jan-19 04:30 AM","1567.79","17.15","0.31628","66.71%","3141.36","0.00","0.00000","4709.15","0.95000","91.44","91.44","0.01239","61.43","6276.94","1.26628","-33.29%","-1567.79","80.70","69.98%","WIT Group","9.69","203-22-0450 - DOUGLAS","0.00","0.00000","100.00%","4709.15","0.00","0.00000","100.00%","4709.15","0.00","0.00000","4709.15","0.95","0.00","0.00000","-33.29%","-1567.79","","No","","203-22-0450","","","","WITH-WC-03","WIT Group","203-22-0450 G&G Cucumber Mint Spark Water 3Ct/8Pk","","Finished Good","","","Stopped","4709.15","51.50","0.95000","33.29%","77.65%","","DOUGLAS","","0.00000","0.00","0.00","0.00000","13.00","13","0.00","0.00000","0.00","0.00000","110.96%","0450 - CUCMNT - 011520","","2066246","","","","2020-Jan-19 02:05 PM","Reconciliation complete","L - 203-22-0450","","No","West Chicago","11.00000","68.16","0.01375","800.00000","4709.15","0.95000","cs","4957.00000","4957.00000","0.00"
"4008193","4164.85","1.18018","-24.23%","-812.30","2020-Jan-18 01:00 PM","2020-Jan-18 08:45 AM","812.30","17.38","0.23018","75.77%","2540.25","0.00","0.00000","3352.55","0.95000","46.75","46.75","0.01155","40.76","4164.85","1.18018","-24.23%","-812.30","86.57","94.62%","WIT Group","4.25","203-22-0450 - DOUGLAS","0.00","0.00000","100.00%","3352.55","0.00","0.00000","100.00%","3352.55","0.00","0.00000","3352.55","0.95","0.00","0.00000","-24.23%","-812.30","","No","","203-22-0450","","","","WITH-WC-03","WIT Group","203-22-0450 G&G Cucumber Mint Spark Water 3Ct/8Pk","","Finished Good","","","Stopped","3352.55","71.71","0.95000","24.23%","112.63%","","DOUGLAS","","0.00000","0.00","0.00","0.00000","12.00","12","0.00","0.00000","0.00","0.00000","119.03%","0450 - CUCMNT - 011520","","2066246","","","","2020-Jan-18 12:58 PM","Reconciliation complete","L - 203-22-0450","","No","West Chicago","11.00000","48.52","0.01375","800.00000","3352.55","0.95000","cs","4070.00000","3529.00000","541.00"
"4007771","570.20","0.89093","59.65%","842.93","2020-Jan-18 01:00 PM","2020-Jan-18 04:30 AM","570.20","17.54","0.89093","59.65%","842.93","0.00","0.00000","0.00","0.00000","32.50","32.50","0.04671","29.89","570.20","0.89093","59.65%","842.93","21.41","96.33%","Ford Gum","8.50","00103 - L5","0.00","0.00000","100.00%","1413.12","0.00","0.00000","100.00%","1413.12","0.00","0.00000","1413.12","2.208","0.00","0.00000","59.65%","842.93","","No","","00103-TRAYR1","","","","FGUM-WC-03","Ford Gum","00103-TRAYR1 Cinnamon Military Energy Gum","","Finished Good","","","Stopped","1413.12","43.48","2.20800","40.35%","103.12%","","L5","","0.00000","0.00","0.00","0.00000","4.00","4","0.00","0.00000","0.00","0.00000","107.05%","00103 - CINN - 010620","","2067756","","","","2020-Jan-18 12:54 PM","Reconciliation complete","L - 00103","","No","West Chicago","4.00000","32.00","0.05000","80.00000","1413.12","2.20800","tr","840.00000","640.00000","200.00"
"4010943","3896.42","1.16589","-22.73%","-721.52","2020-Jan-18 08:45 AM","2020-Jan-18 04:30 AM","721.52","17.39","0.21589","77.27%","2453.39","0.00","0.00000","3174.90","0.95000","41.50","41.50","0.01231","41.13","3896.42","1.16589","-22.73%","-721.52","81.25","99.12%","WIT Group","4.25","203-22-0451 - DOUGLAS","0.00","0.00000","100.00%","3174.90","0.00","0.00000","100.00%","3174.90","0.00","0.00000","3174.90","0.95","0.00","0.00000","-22.73%","-721.52","","No","","203-22-0451","","","","WITH-WC-04","WIT Group","203-22-0451 G&G Ginger Peach Spark Water 3Ct/8Pk","","Finished Good","","","Stopped","3174.90","76.50","0.95000","22.73%","110.73%","","DOUGLAS","","0.00000","0.00","0.00","0.00000","11.00","11","0.00","0.00000","0.00","0.00000","111.72%","0451 - GNGRPCH - 011620","","2068878","","","","2020-Jan-18 08:47 AM","Reconciliation complete","L - 203-22-0451","","No","West Chicago","11.00000","45.95","0.01375","800.00000","3174.90","0.95000","cs","3251.00000","3342.00000","-91.00"
"4010972","3117.59","1.38683","-32.84%","-770.68","2020-Jan-18 01:17 PM","2020-Jan-18 04:30 AM","766.18","17.40","0.34083","67.35%","1580.73","0.00","0.00000","2351.42","1.04600","44.05","44.05","0.01564","35.15","3117.59","1.38683","-32.84%","-770.68","63.96","82.94%","Conagra","8.80","9688700220 - L3/L4","0.00","0.00000","100.00%","2346.91","0.00","0.00000","100.00%","2346.91","0.00","0.00000","2346.91","1.044","0.00","0.00000","-32.84%","-770.68","","No","","9688700220","","","","CONAGRA-WC-68","Conagra","9688700220 Bigs 12Ct/5.35Oz Dill Pickle Sunflower Seeds","","Finished Good","","","Stopped","2346.91","53.28","1.04400","32.65%","85.56%","","L3","","0.00000","0.00","0.00","0.00000","6.00","6","0.00","0.00000","0.00","0.00000","103.16%","9688700220 - 3216096","","2070503","","","","2020-Jan-18 01:17 PM","Reconciliation complete","L - 9688700220","","No","West Chicago","5.00000","36.26","0.01613","310.00000","2346.91","1.04400","cs","3255.00000","2248.00000","1007.00"
"4010996","700.48","0.67810","63.54%","1220.90","2020-Jan-18 01:00 PM","2020-Jan-18 04:30 AM","697.48","17.23","0.67520","63.70%","1223.90","0.00","0.00000","3.00","0.00290","40.49","40.49","0.03594","37.13","700.48","0.67810","63.54%","1220.90","27.82","95.81%","Cargill","8.50","110002924 - C2","0.00","0.00000","100.00%","1921.38","0.00","0.00000","100.00%","1921.38","0.00","0.00000","1921.38","1.86","0.00","0.00000","63.54%","1220.90","","No","","110002924","","","","CARGILL-WC-02","Cargill","110002924 Truvia Baking Blend 8/24Oz Case","","Finished Good","","","Stopped","1921.38","47.45","1.86000","36.30%","111.08%","","C2","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","115.94%","110002924 - 4507503537","","2062387","","4507503537","","2020-Jan-18 12:52 PM","Reconciliation complete","L - 110002924","","No","West Chicago","5.00000","43.04","0.04167","120.00000","1921.38","1.86000","cs","960.00000","1033.00000","-73.00"
"4010629","886.03","1.71380","-64.16%","-346.29","2020-Jan-18 02:15 AM","2020-Jan-17 10:15 PM","328.91","17.31","0.63618","39.06%","210.84","0.00","0.00000","557.13","1.07762","19.00","19.00","0.01470","7.60","886.03","1.71380","-64.16%","-346.29","68.05","44.33%","Conagra","4.00","9688700220 - L3/L4","0.00","0.00000","100.00%","539.75","0.00","0.00000","100.00%","539.75","0.00","0.00000","539.75","1.044","0.00","0.00000","-64.16%","-346.29","","No","","9688700220","","","","CONAGRA-WC-68","Conagra","9688700220 Bigs 12Ct/5.35Oz Dill Pickle Sunflower Seeds","","Finished Good","","","Stopped","539.75","28.41","1.04400","60.94%","48.66%","","L3","","0.00000","0.00","0.00","0.00000","7.00","7","0.00","0.00000","0.00","0.00000","109.75%","9688700220 - 3216096","","2070503","","","","2020-Jan-18 02:21 AM","Reconciliation complete","L - 9688700220","","No","West Chicago","5.00000","8.34","0.01613","310.00000","539.75","1.04400","cs","2170.00000","517.00000","1653.00"
"4010897","1564.82","1.29753","-50.88%","-527.66","2020-Jan-18 12:00 AM","2020-Jan-17 07:00 PM","525.60","17.52","0.43582","49.32%","511.56","0.00","0.00000","1039.22","0.86171","30.00","30.00","0.01519","18.32","1564.82","1.29753","-50.88%","-527.66","65.82","64.34%","Conagra","5.00","1601201284 - L2/L6","0.00","0.00000","100.00%","1037.16","0.00","0.00000","100.00%","1037.16","0.00","0.00000","1037.16","0.86","0.00","0.00000","-50.88%","-527.66","","No","","1601201284","","","","CONAGRA-WC-29","Conagra","1601201284 Bigs 8Ct/5.00Oz Ss Pumpkin Seeds","","Finished Good","","","Stopped","1037.16","34.57","0.86000","50.68%","99.64%","","L6","","0.00000","0.00","0.00","0.00000","6.00","6","0.00","0.00000","0.00","0.00000","154.86%","1601201284 - 3216096-40","1/19 - RAN OUT OF SEED; TRUCKS DID NOT SHIP ON FRIDAY EITHER DUE TO BLIZZARD WARNINGS IN FARGO AND ROAD CLOSURES.","2070612","","","","2020-Jan-17 11:51 PM","Reconciliation complete","L - 1601201284","","No","West Chicago","4.00000","28.38","0.02353","170.00000","1037.16","0.86000","cs","1105.00000","1206.00000","-101.00"
