"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"2070673","2020-Jan-19 07:39 PM","Conagra","2020-Jan-26 08:38 PM","1601201344 - L3/L4","Yes","No","","","CONAGRA-WC-35","Conagra","1601201344 Bigs 8Ct/5.35Oz Taco Supreme","","Finished Good","","100.00%","2020-Jan-21 08:39 PM","2020-Jan-20 05:00 AM","1601201344 - 3216096-50","","Booked","","","","L - 1601201344","West Chicago","5.00","403.00000","0.00","0.00","0.85900","0.00000","cases","7000.00000","0.00000","7000.00000"
"2070669","2020-Jan-19 05:48 PM","WIT Group","2020-Jan-26 06:48 PM","203-22-0447 - DOUGLAS","Yes","No","","","WITH-WC-10","WIT Group","203-22-0447 G&G Grapefruit Spark Water 3Ct/8Pk","","Finished Good","","100.00%","2020-Jan-20 08:30 AM","2020-Jan-20 05:00 AM","0447 - GRPFRT - 012020","","Booked","","","","L - 203-22-0447","West Chicago","11.00","800.00000","0.00","0.00","0.95000","0.00000","cases","1395.00000","0.00000","1395.00000"
"2070612","2020-Jan-17 07:18 PM","Conagra","2020-Jan-26 07:18 PM","1601201284 - L2/L6","Yes","Yes","","","CONAGRA-WC-29","Conagra","1601201284 Bigs 8Ct/5.00Oz Ss Pumpkin Seeds","","Finished Good","","100.00%","2020-Jan-26 05:19 PM","2020-Jan-21 05:00 AM","1601201284 - 3216096-40","1/19 - RAN OUT OF SEED; TRUCKS DID NOT SHIP ON FRIDAY EITHER DUE TO BLIZZARD WARNINGS IN FARGO AND ROAD CLOSURES.","Booked","","","","L - 1601201284","West Chicago","4.00","170.00000","1037.16","1037.16","0.86000","1206.00000","cases","9500.00000","1206.00000","8294.00000"
"2070503","2020-Jan-17 02:43 PM","Conagra","2020-Jan-26 02:42 PM","9688700220 - L3/L4","Yes","Yes","","","CONAGRA-WC-68","Conagra","9688700220 Bigs 12Ct/5.35Oz Dill Pickle Sunflower Seeds","","Finished Good","","100.00%","2020-Jan-26 06:27 PM","2020-Jan-20 05:00 AM","9688700220 - 3216096","","Booked","","","","L - 9688700220","West Chicago","5.00","310.00000","2886.66","2886.66","1.04400","2765.00000","cases","30000.00000","2765.00000","27235.00000"
"2069804","2020-Jan-17 12:08 PM","Cargill","2020-Feb-27 12:08 PM","110028350 - LOWE BLENDER","Yes","No","","","CARGILL-WC-08-03","Cargill","110028350 Truvia Brown Sugar - Bulk","","Batch","","100.00%","2020-Jan-29 12:09 PM","2020-Jan-27 12:09 PM","110028350 - 4507628683","","Booked","","4507628683","","L - 110028350","West Chicago","4.00","5000.00000","0.00","0.00","0.15000","","pounds","115000.00000","0.00000","115000.00000"
"2069801","2020-Jan-17 12:07 PM","Cargill","2020-Feb-27 12:07 PM","110002910 - C1AMS1/C2AMS1","Yes","No","","","CARGILL-WC-01","Cargill","110002910 Truvia Bar/Tea 6/24Oz Case","","Finished Good","","100.00%","2020-Jan-24 12:07 PM","2020-Jan-20 12:07 PM","110002910 - 4507628647","","Booked","","4507628647","","L - 110002910","West Chicago","7.00","108.00000","0.00","0.00","2.70000","","cases","2400.00000","0.00000","2400.00000"
"2069798","2020-Jan-17 12:05 PM","Cargill","2020-Feb-27 12:04 PM","110012435 - C2","Yes","No","","","CARGILL-WC-06","Cargill","110012435 Truvia Ca Baking Blend 8/680G","","Finished Good","","100.00%","2020-Feb-24 12:05 PM","2020-Jan-27 12:05 PM","110012435 - 4507628650","","Booked","","4507628650","","L - 110012435","West Chicago","5.00","126.00000","0.00","0.00","1.86000","","cases","2520.00000","0.00000","2520.00000"
"2069797","2020-Jan-17 12:02 PM","Cargill","2020-Feb-27 12:02 PM","110002924 - C2","Yes","No","","","CARGILL-WC-02","Cargill","110002924 Truvia Baking Blend 8/24Oz Case","","Finished Good","","100.00%","2020-Feb-24 12:03 PM","2020-Feb-03 12:03 PM","110002924 - 4507628649","","Booked","","4507628649","","L - 110002924","West Chicago","5.00","120.00000","0.00","0.00","1.86000","","cases","41400.00000","0.00000","41400.00000"
"2069795","2020-Jan-17 11:56 AM","Cargill","2020-Feb-27 11:56 AM","110026538 - LOEWS BLENDER","Yes","No","","","CARGILL-WC-02-03","Cargill","110026538 Truvia Cane Sugar Blend 2044Lb Tote - Bulk","","Batch","","100.00%","2020-Jan-31 11:56 AM","2020-Jan-20 11:56 AM","110026538 - 4507628680","","Booked","","4507628680","","L - 110026538","West Chicago","4.00","4000.00000","0.00","0.00","0.15000","","pounds","530000.00000","0.00000","530000.00000"
"2069793","2020-Jan-17 11:54 AM","Cargill","2020-Jan-31 11:54 AM","110002910 - C1AMS1/C2AMS1","Yes","No","","","CARGILL-WC-01","Cargill","110002910 Truvia Bar/Tea 6/24Oz Case","","Finished Good","","100.00%","2020-Jan-20 11:54 AM","2020-Jan-20 11:54 AM","110002910 - 4507503608","","Booked","","4507503608","","L - 110002910","West Chicago","7.00","108.00000","0.00","0.00","2.70000","","cases","800.00000","0.00000","800.00000"
